latitude,longitude,nkill,city,attacktype1_txt
28.585836,77.153336,0,New Delhi,Hijacking
25.863042,85.781004,4,Samastipur,Bombing/Explosion
28.585836,77.153336,0,New Delhi,Bombing/Explosion
19.075984,72.877656,0,Bombay,Hijacking
26.200605,92.937574,,Unknown,Armed Assault
24.798346,93.94043,3,Imphal,Assassination
24.663717,93.906269,4,Unknown,Armed Assault
23.164543,92.937574,1,Unknown,Assassination
26.200604,92.937574,2,Unknown,Armed Assault
23.727107,92.717639,,Aizawl,Facility/Infrastructure Attack
23.727107,92.717639,,Aizawl,Facility/Infrastructure Attack
16.435329,77.831725,1,Amapur,Unknown
,,1,Raisikah,Armed Assault
23.469545,93.337934,1,Champhai,Armed Assault
23.727107,92.717639,1,Aizawl,Assassination
22.804567,86.202875,1,Jamshedpur,Bombing/Explosion
28.585836,77.153336,1,New Delhi,Armed Assault
28.585836,77.153336,1,New Delhi,Armed Assault
22.804567,86.202875,3,Jamshedpur,Bombing/Explosion
13.08268,80.270718,3,Chennai,Bombing/Explosion
24.663717,93.906269,4,Unknown,Armed Assault
26.846709,80.946159,0,Unknown,Assassination
24.663717,93.906269,1,Unknown,Assassination
25.096074,85.313119,3,Unknown,Armed Assault
24.798346,93.94043,1,Imphal,Assassination
24.663717,93.906269,2,Unknown,Armed Assault
,,1,Chiaplant,Assassination
25.410833,78.739167,4,Tindol,Armed Assault
22.551729,88.352341,2,Calcutta,Bombing/Explosion
28.585836,77.153336,1,New Delhi,Assassination
12.492222,78.567778,6,Tirupattur,Bombing/Explosion
26.200605,92.937574,0,Unknown,Bombing/Explosion
26.200605,92.937574,0,Unknown,Bombing/Explosion
26.200605,92.937574,0,Unknown,Bombing/Explosion
24.663717,93.906269,6,Unknown,Unknown
26.200605,92.937574,,Unknown,Bombing/Explosion
26.200605,92.937574,,Unknown,Bombing/Explosion
26.149794,91.763931,0,Gauhati,Bombing/Explosion
26.149794,91.763931,,Gauhati,Bombing/Explosion
26.75602,94.20945,1,Jorhat,Assassination
26.158435,94.562443,3,Unknown,Assassination
26.200605,92.937574,,Unknown,Bombing/Explosion
,,0,Unknown,Bombing/Explosion
24.663717,93.906269,0,Unknown,Bombing/Explosion
26.200605,92.937574,0,Unknown,Bombing/Explosion
24.663717,93.906269,9,Unknown,Unknown
21.214186,73.243362,1,Massad,Assassination
28.585836,77.153336,0,New Delhi,Hijacking
30.733315,76.779418,1,Chandigarh,Assassination
30.733315,76.779418,3,Chandigarh,Bombing/Explosion
24.663717,93.906269,20,Unknown,Unknown
22.986757,87.854975,6,Unknown,Unknown
26.149794,91.763931,19,Gauhati,Bombing/Explosion
28.585836,77.153336,1,New Delhi,Assassination
23.727107,92.717639,1,Aizawl,Assassination
23.164543,92.937574,4,Unknown,Assassination
26.292047,73.032411,1,Jodhpur,Hijacking
19.075984,72.877656,0,Bombay,Assassination
